,rownames(tmp[tmp$adj.P.Val < 0.05 & tmp$logFC < 0, ])
1,ABCA7
2,ABCG1
3,ACER2
4,ACTBL2
5,ACTN2
6,ADAMTS9
7,ADNP2
8,ADPRH
9,ADRA1D
10,AFAP1
11,AFAP1L2
12,AGAP2
13,ALDH1L2
14,AMPD3
15,ANAPC15
16,ANAPC4
17,ANK1
18,ANTKMT
19,AOC2
20,ARFIP2
21,ARID1B
22,ARL3
23,ARMH3
24,ARSB
25,ARSG
26,ARSI
27,ASB3
28,ATG10
29,ATP11B
30,ATP2B4
31,ATP6V0E2
32,ATXN7L3
33,B3GNT10
34,BAHCC1
35,BAIAP2-DT
36,BCAN
37,BCHE
38,BCKDHB
39,BCL6
40,BCS1L
41,BDNF
42,BIN1
43,BIRC7
44,BOLA3-AS1
45,BSCL2
46,BTBD8
47,BTN2A1
48,BTN2A2
49,C11orf95
50,C1GALT1
51,C1QTNF1
52,C2CD3
53,C2orf68
54,C3orf67
55,C8orf88
56,CACFD1
57,CACNA2D2
58,CAPZA2
59,CASKIN1
60,CASTOR2
61,CCBE1
62,CCDC120
63,CCR10
64,CDH23
65,CDK17
66,CDK2AP2
67,CDS1
68,CELSR3
69,CEP19
70,CFAP300
71,CLASP1
72,CLK2P1
73,CLMP
74,CLOCK
75,CNOT1
76,CNTNAP1
77,COX10-AS1
78,CPS1
79,CPXM1
80,CREB3L2
81,CRTAC1
82,CRYL1
83,CSDC2
84,CSMD3
85,CUTC
86,CWF19L2
87,CYB5B
88,CYGB
89,CYP27A1
90,DAAM2
91,DENND11
92,DENND3
93,DEPP1
94,DERA
95,DGAT2
96,DGKH
97,DIS3L
98,DLG4
99,DLG5-AS1
100,DNA2
101,DNAJB2
102,DNAJC19
103,DNHD1
104,DPP10
105,DPY19L2
106,DPY19L3
107,DTNB
108,DYRK3
109,EDA2R
110,ELF2
111,ELMOD1
112,EMC1-AS1
113,ENPEP
114,EPHB3
115,EPHX2
116,EPS8L2
117,ERCC6L2
118,ERICH2
119,ERRFI1
120,ERVK13-1
121,FAAHP1
122,FAM114A1
123,FAM126B
124,FAM161A
125,FAM171A1
126,FAM210A
127,FAM214B
128,FAM227B
129,FAM27C
130,FAM43B
131,FAM53A
132,FAM76A
133,FAS
134,FBN1
135,FGD4
136,FHIT
137,FNDC11
138,FOXC2
139,FOXF1
140,FUT1
141,FXYD6
142,FZD3
143,GABRB3
144,GALNT4
145,GALR2
146,GAS2L3
147,GBAT2
148,GDF9
149,GFPT2
150,GHR
151,GLB1L3
152,GLI3
153,GNG7
154,GNGT2
155,GPR155
156,GPR176
157,GPRC5B
158,GRIN3B
159,GSTA4
160,GSTO2
161,GUCY1B1
162,GUSBP14
163,GUSBP16
164,HAGLROS
165,HAUS2
166,HCG18
167,HCN1
168,HECTD2
169,HMGN2P46
170,HOXA10-AS
171,HPDL
172,HSPG2
173,IDUA
174,IFITM1
175,ILK
176,INPP4A
177,IRAIN
178,ISM1
179,ITGA3
180,ITGB4
181,JADE1
182,KCNJ5
183,KCNJ8
184,KCNQ4
185,KHNYN
186,KIF16B
187,KIF24
188,KIF27
189,KLF5
190,KLHDC9
191,KLHL12
192,KLRG2
193,KRTAP2-2
194,KRTAP2-3
195,LAMA2
196,LAMA5
197,LAMC1
198,LHFPL4
199,LINC00339
200,LINC00621
201,LINC01006
202,LINC02211
203,LINC02538
204,LMBR1L
205,LMO4
206,LNPK
207,LOC101927954
208,LOC105378663
209,LOC107985246
210,LOC646903
211,LOXL1
212,LOXL1-AS1
213,LPAR3
214,LPIN2
215,LPIN3
216,LRRC26
217,LRRC57
218,LRRC75A
219,LRRTM4
220,MAFA
221,MAGEH1
222,MAMLD1
223,MARF1
224,MED17
225,MEGF8
226,MFSD14B
227,MFSD6L
228,MFSD9
229,MGMT
230,MIR3141
231,MIR3909
232,MIR410
233,MIR4521
234,MIR762HG
235,MOSPD2
236,MRAP2
237,MTERF3
238,MTFR1L
239,MUC5B
240,MYCBP2
241,MYO15B
242,MYO5C
243,MYOZ3
244,NBPF15
245,NEBL
246,NECAP1
247,NES
248,NFIA
249,NFKB1
250,NFKB2
251,NFKBID
252,NHS
253,NKX2-3
254,NME5
255,NOL4L
256,NOTCH2NLR
257,NOTCH3
258,NPAS2
259,NPIPB12
260,NRBP2
261,NRF1
262,NT5C3A
263,NUP210
264,NUP210P1
265,NUPR1
266,OLFM2
267,ORC1
268,ORC5
269,OSBPL10
270,PAPPA
271,PCDH18
272,PCYT2
273,PFN1P2
274,PHF7
275,PIGP
276,PKD1P6-NPIPP1
277,PLA2G6
278,PLCD3
279,PLCH1
280,PLEKHG6
281,PLEKHO1
282,PLLP
283,PLPPR4
284,PLXNA3
285,PLXNA4
286,PMEL
287,PMS2P5
288,PPP4R4
289,PPT2-EGFL8
290,PRDM16
291,PRR35
292,PRX
293,PSMC6
294,PTCHD3
295,PTENP1
296,PXYLP1
297,RAB2B
298,RAB3D
299,RAB42
300,RABGGTA
301,RASSF2
302,RBM18
303,RERG
304,REXO5
305,RNA5S9
306,RNASEK-C17orf49
307,RNF103
308,RNF145
309,RNF225
310,RNF227
311,RNVU1-3
312,RNVU1-7
313,ROCK1P1
314,RPL38
315,RPP25
316,RPRD1B
317,RPRD2
318,RPS6KA5
319,RPS6KA6
320,RXFP3
321,SAMD4A
322,SAPCD2
323,SBK1
324,SCARNA1
325,SCARNA9
326,SCN5A
327,SCYL3
328,SDK1
329,SEMA3C
330,SEMA4D
331,SEPTIN4
332,SERGEF
333,SETBP1
334,SH3BP5
335,SH3D21
336,SHANK1
337,SLC22A15
338,SLC22A18
339,SLC25A36
340,SLC26A8
341,SLC36A2
342,SLC5A4-AS1
343,SLC9A7P1
344,SMARCC1
345,SMIM13
346,SMPD1
347,SMURF2P1-LRRC37BP1
348,SNORA3A
349,SNORA4
350,SNORA60
351,SNORA64
352,SNORA71B
353,SNORD19B
354,SNORD24
355,SNORD31
356,SNORD38A
357,SNORD3A
358,SNORD44
359,SNORD46
360,SNORD49A
361,SNORD57
362,SNORD67
363,SNORD78
364,SNORD83B
365,SNX24
366,SOCS4
367,ST3GAL4
368,ST7L
369,STARD3NL
370,STIL
371,STRA6
372,STRIP2
373,STX16
374,STX2
375,SUSD5
376,SYNGAP1
377,TBC1D32
378,TBR1
379,TCEANC
380,TCFL5
381,TECPR1
382,TEX101
383,TGIF2
384,THBS1
385,TMEM129
386,TMEM141
387,TMEM14A
388,TMEM191C
389,TMEM64
390,TMEM74B
391,TNFAIP2
392,TNXB
393,TPPP3
394,TPT1-AS1
395,TRIM21
396,TRIM39
397,TRIP11
398,TRMT10B
399,TRPM4
400,TSPAN18
401,TTC26
402,TTC4
403,UCP2
404,USP2
405,VPS52
406,VTRNA2-1
407,WAC-AS1
408,WIPF2
409,ZBTB14
410,ZDHHC23
411,ZNF107
412,ZNF14
413,ZNF141
414,ZNF160
415,ZNF280B
416,ZNF358
417,ZNF446
418,ZNF506
419,ZNF536
420,ZNF692
421,ZNF786
422,ZNF81
423,ZNF837
424,ZNF862
425,ZNF888
426,ZNFX1
427,ZXDA
428,ZYG11A
