,Riboseq_control_1,Riboseq_control_2,RNAseq_control_1,RNAseq_control_2,RNAseq_control_3,Riboseq_sample_1,Riboseq_sample_2,RNAseq_sample_1,RNAseq_sample_2,RNAseq_sample_3
ABHD18,0,0,14.0804070829345,13.456667176774,19.8340157336635,0,0,21.7342448368994,26.5799824665053,21.2982913839179
ABHD2,9.87073937760382,6.86919338496677,122.4383224603,114.605948788859,163.795913267171,6.54121083320911,27.5394771520105,144.564292421368,152.509619676696,173.219108743095
ABHD3,0,0.62447212590607,30.380008760462,32.5950382726304,41.8167165051406,6.19693657882968,0,44.0095912050079,47.2119968286178,45.4293604395883
ABHD4,0,0,12.014260391417,11.7372041486307,11.4045590468565,0,5.5078954304021,12.8962531604839,12.2676842153101,14.6884768164951
ABHD5,2.63219716736102,0,10.1776855545124,12.5595560316558,12.5615432979869,0,0,25.4317719668283,22.3978173931041,24.8654928964952
ABHD6,0,0,8.95330232990945,8.74683366490312,5.78492125565187,3.09846828941484,3.30473725824126,9.64964397322918,11.9888732104167,8.91800378144344
ABHD8,15.7931830041661,0.62447212590607,33.058347064281,30.6512974582075,32.7261259605449,1.37709701751771,13.218949032965,20.110940243272,20.8178883653748,30.4261305484541
ABI1,0.658049291840255,0,67.8767450139289,76.1796880729596,64.4605511344065,14.4595186839359,25.8871085228899,88.8308347068294,70.4462472364021,69.875182569898
ABI2,15.7931830041661,16.2362752735578,89.2269274929437,71.170817512716,129.251669197707,7.57403359634739,6.60947451648251,130.495652609931,121.840409138421,130.937279049899
ABITRAM,3.94829575104153,3.74683275543642,9.02982628144713,10.3167781688601,14.7102283358005,4.13129105255312,0,17.675983352831,18.7732743294897,15.6327360404126
ABL1,6.58049291840255,11.2404982663093,132.309912208662,129.931597517963,131.565637699968,24.7877463153187,20.1038183209676,84.4118388686216,86.2455375136954,108.694728442064
ABL2,22.3736759225687,9.36708188859105,119.45388835033,114.531189526766,112.392755824093,2.75419403503541,26.9886876089703,124.633719355166,116.82181105034,89.4947908890736
ABLIM1,3.94829575104153,3.74683275543642,111.265825535798,95.0937813825365,122.970897548714,7.57403359634739,15.9728967481661,129.774183901652,117.472370061758,108.379975367424
ABR,9.87073937760382,14.9873310217457,162.077729356822,171.722025028055,142.970196746825,40.6243620167724,30.2934248672115,119.312887631609,122.026283141683,159.265055767425
ABRACL,14.1480597745655,4.05906881838946,90.0686909598583,82.3099475646012,155.03588965147,18.2465354821096,20.1038183209676,89.7326705921779,102.9741978073,107.6455515266
ABRAXAS1,0,0,6.19844007455269,6.57881506420064,3.30566928894392,0,7.71105360256293,5.14046454648657,6.2267791092862,6.08522610969082
ABRAXAS2,2.63219716736102,2.49788850362428,37.8793560111554,35.1368531837989,41.3208661117991,2.75419403503541,2.75394771520105,60.423004318351,48.8848628579782,47.4227965789698
ABT1,19.4124541092875,21.8565244067125,199.344893755676,211.344433937445,111.896905430752,21.3450037715245,19.8284235494475,107.498837533544,90.70651359199,131.566785199177
ABTB1,0,0,5.89234426840194,5.23314834652323,6.61133857788785,0,3.30473725824126,6.94413631718362,5.66915709949938,8.07866224907229
ABTB2,2.63219716736102,4.37130488134249,37.2671643988539,38.6505385021787,28.9246062782593,10.3282276313828,2.75394771520105,27.1452601489905,27.6952264860789,24.2359867472169
ACAA1,1.31609858368051,5.62024913315463,19.2075118359596,24.9695935391251,16.5283464447196,3.44274254379427,10.465001317764,15.4213936394597,10.7806921892119,21.1933736923715
ACAA2,9.21269008576357,6.2447212590607,58.8469187324817,55.0975761626803,81.1541810435734,11.7053246489005,28.0902666950507,55.3727233603992,50.8365398922321,75.4358202218569
ACACA,13.8190351286453,11.2404982663093,257.273525069706,232.501305109818,177.679724280736,26.1648433328364,36.902899383694,244.668075695054,250.465219395915,219.173057640416
ACACB,0,1.24894425181214,12.3968801491054,13.456667176774,13.8838110135645,0,2.20315817216084,17.4054325872265,13.7546762414083,18.0458429459797
ACAD10,1.97414787552076,4.99577700724856,33.6705386765825,39.547649647297,29.7510236004953,6.19693657882968,7.16026405952272,28.5881975655481,23.9777464208334,24.5507398218561
ACAD8,6.58049291840255,0,22.038898042854,18.9140933095768,17.1894803025084,0,3.30473725824126,21.1931433056903,23.8848094192023,18.1507606375261
ACAD9,2.63219716736102,0,37.1906404473162,44.2574831591679,34.3789606050168,17.2137127189713,6.0586849734423,24.1692017273404,27.5093524828166,31.0556366977324
ACADL,0,0,5.89234426840194,5.30790760861642,8.09888975791262,0,0,6.49321837450936,6.69146411744189,4.61637842804131
ACADM,3.29024645920127,9.36708188859105,59.0764905870948,47.6964092154546,74.7081259301327,6.19693657882968,7.16026405952272,64.8420001565587,71.8403022608691,71.0292771769083
ACADS,0,1.24894425181214,11.7081645852662,9.12062997536906,7.60303936457103,10.3282276313828,6.60947451648251,9.28890961908977,12.5464952202035,11.4360283785569
ACADSB,0.658049291840255,5.62024913315463,58.4642989747933,53.7519094450029,84.4598503325173,3.44274254379427,10.465001317764,70.3431990571847,61.7101690830752,65.5735572164959
ACADVL,0,5.62024913315463,134.223010997104,137.407523727282,139.333960528986,28.9190373678718,27.5394771520105,127.519594188281,119.145236091118,106.806209994228
ACAP1,0,0,5.35667660763813,7.10212989885296,3.47095275339112,0,0,7.84597220253214,6.31971611091734,2.72785998020623
ACAP2,2.63219716736102,3.74683275543642,21.2736585274771,16.8955932330607,47.7669212252397,8.26258210510624,8.26184314560314,28.3176467999436,23.8848094192023,37.0359451158769
ACAP3,6.58049291840255,0.62447212590607,62.0609246970646,62.872539420372,41.6514330406935,5.50838807007083,8.26184314560314,48.5187706317505,44.0521387731591,50.5703273253616
ACAT1,7.89659150208306,6.2447212590607,65.4279785647229,62.9472986824652,86.9391022992252,15.1480671926948,51.7742170457797,58.1684146049797,64.1265311254847,70.39977102763
ACAT2,2.63219716736102,2.49788850362428,40.404646411899,37.5291495707809,43.4695511496126,0,17.6252653772867,48.4285870432156,44.2380127764214,59.8030841814442
ACBD3,7.89659150208306,6.2447212590607,170.036220316742,144.509653626134,158.01099201152,28.230488859113,40.7584261849755,198.403894776675,174.442752061645,172.065014136085
ACBD4,7.2385422102428,1.87341637771821,40.0220266542106,41.2671126754404,36.5276456428304,0.688548508758853,6.0586849734423,28.9489319196875,35.5019346230945,28.8523651752582
ACBD5,0.658049291840255,6.2447212590607,76.0648078284615,61.9754282752537,86.2779684414364,4.13129105255312,9.91421177472377,77.0167846087638,69.2380662151973,83.3046470878364
ACBD6,24.3478237980894,21.8565244067125,84.8650622552955,73.0397990650457,68.7579212100336,32.7060541660455,33.0473725824126,54.921805417725,57.8997520161985,69.350594112166
ACBD7,0,0,12.3203561975677,11.5876856244443,15.0407952646949,0,0,31.3838888101286,24.5353684306203,32.6294020709283
ACCS,0,0,7.4228232991557,9.27014849955544,6.61133857788785,0,0,6.0423004318351,7.43496013049099,5.03604919422688
ACD,0,2.49788850362428,19.2840357874973,26.3152602568025,9.58644093793738,6.88548508758853,32.4965830393724,18.7581864152493,12.6394322218347,19.8294437022684
ACE,7.2385422102428,0,11.1724969245024,12.0362411970034,8.59474015125421,0,0,10.6416634471126,10.5018811843185,9.02292147298983
ACER2,3.94829575104153,2.49788850362428,2.60181435228138,3.13988900791394,3.63623621783832,0,0,4.23862866113805,6.31971611091734,5.77047303505164
ACER3,0,0,37.8793560111554,26.4647787809889,43.4695511496126,0.688548508758853,0.55078954304021,48.3384034546808,48.9777998596094,55.5014588280421
ACHE,0,0,3.90272152842207,2.99037048372756,0.991700786683178,0,0,3.87789430699864,5.39034609460596,4.09178997030934
ACIN1,44.7473518451373,50.2700061354386,534.596325442285,601.587782063892,386.267456413098,53.7067836831906,74.9073778534685,451.819778559609,437.919151685919,437.611691440007
ACLY,121.081069698607,120.523120299872,475.825930661341,443.77097978517,466.760503598882,168.694384645919,239.593451222491,470.848515740463,445.35411181641,527.840906169905
ACO1,1.97414787552076,0.312236062953035,24.7172363466731,19.8859637167883,44.1306850074014,2.06564552627656,9.36342223168356,32.7366426381513,24.7212424338825,39.5539697129903
ACO2,0,16.2362752735578,27.3955746504922,26.6890565672685,22.1479842359243,30.9846828941484,27.5394771520105,20.3814910088766,19.4238333409077,16.3671598812374
ACOT1,0.658049291840255,6.2447212590607,14.8456465983114,16.8208339709675,17.3547637669556,8.26258210510624,1.10157908608042,14.1588233999718,11.4312512006299,16.262242189691
ACOT13,9.21269008576357,10.6160261404032,36.6549727865523,47.1730943808023,52.8907086231028,56.460977718226,7.16026405952272,40.7629820177532,46.0967528090441,45.1146073649492
